id,outcome
4449,-1
4450,0
4451,-1
4452,-1
4453,-1
4454,0
4455,-1
4456,-1
4457,0
4458,0
4459,0
4460,0
4461,0
4462,-1
4463,0
4464,0
4465,0
4466,0
4467,-1
4468,0
4469,0
4470,0
4471,0
4472,0
4473,-1
4474,0
4475,0
4476,0
4477,0
4478,0
4479,-1
4480,-1
4481,0
4482,-1
4483,0
4484,0
4485,-1
4486,0
4487,0
4488,0
4489,0
4490,-1
4491,-1
4492,-1
4493,-1
4494,0
4495,0
4496,-1
4497,0
4498,0
4509,0
4510,0
4511,0
4512,0
4513,-1
4514,0
4515,-1
4516,-1
4517,-1
4518,0
4519,-1
4520,-1
4521,-1
4522,0
4523,-1
4524,0
4525,-1
4526,-1
4527,-1
4528,0
4529,-1
4530,-1
4531,-1
4532,0
4533,-1
4534,-1
4535,0
4536,0
4537,-1
4538,0
4539,0
4540,-1
4541,0
4542,0
4543,0
4544,-1
4545,0
4546,-1
4547,0
4548,-1
4549,-1
4550,-1
4551,-1
4552,-1
4553,0
4554,-1
4555,0
4556,-1
4557,0
4558,-1
4559,-1
4560,0
4561,-1
4562,0
4563,0
4564,-1
4565,0
4566,-1
4567,-1
4568,0
4569,0
4570,0
4571,-1
4572,0
4573,0
4574,0
4575,0
4576,-1
4577,0
4578,0
4579,0
4580,0
4581,0
4582,-1
4583,-1
4584,0
4585,0
4586,0
4587,0
4588,-1
4589,-1
4590,0
4591,0
4592,-1
4593,0
4594,-1
4595,-1
4596,-1
4597,-1
4598,-1
4599,-1
4600,-1
4601,-1
4602,-1
4603,0
4604,-1
4605,-1
4606,0
4607,-1
4608,-1
4619,-1
4620,0
4621,-1
4622,0
4623,0
4624,0
4625,0
4626,0
4627,-1
4628,-1
4629,0
4630,-1
4631,-1
4632,-1
4633,-1
4634,-1
4635,0
4636,0
4637,-1
4638,-1
4639,0
4640,0
4641,0
4642,0
4643,-1
4644,0
4645,-1
4646,-1
4647,-1
4648,0
4649,0
4650,-1
4651,0
4652,0
4653,0
4654,-1
4655,-1
4656,-1
4657,-1
4658,0
4659,-1
4660,0
4661,0
4662,-1
4663,0
4664,-1
4665,0
4666,-1
4667,-1
4668,0
4669,0
4670,0
4671,0
4672,0
4673,-1
4674,-1
4675,-1
4676,-1
4677,-1
4678,0
4679,-1
4680,0
4681,-1
4682,-1
4683,-1
4684,-1
4685,0
4686,-1
4687,0
4688,0
4689,0
4690,-1
4691,-1
4692,0
4693,0
4694,0
4695,0
4696,-1
4697,0
4698,-1
4699,-1
4700,-1
4701,-1
4702,0
4703,0
4704,-1
4705,-1
4706,0
4707,-1
4708,0
