,id,season,stage,date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,outcome
0,1729,2008/2009,1,2008-08-17 00:00:00,1,13,1,1,1.29,5.5,11.0,1.3,4.4,8.5,1.25,4.5,10.0,2.2,3.67,3.64,1.25,4.5,10.0,1.28,5.5,12.0,0
1,1730,2008/2009,1,2008-08-16 00:00:00,2,16,1,0,1.2,6.5,15.0,1.2,5.2,11.0,1.2,5.0,11.0,2.2,3.67,3.64,1.17,5.5,12.0,1.25,6.0,13.0,1
2,1731,2008/2009,1,2008-08-16 00:00:00,3,12,0,1,5.5,3.6,1.67,4.5,3.5,1.65,4.5,3.3,1.67,2.2,3.67,3.64,5.5,3.3,1.57,5.5,3.8,1.65,-1
3,1732,2008/2009,1,2008-08-16 00:00:00,4,20,2,1,1.91,3.4,4.2,1.8,3.3,3.8,1.8,3.2,4.0,2.2,3.67,3.64,1.83,3.2,3.75,1.9,3.5,4.35,1
4,1733,2008/2009,1,2008-08-17 00:00:00,5,18,4,2,1.91,3.4,4.33,2.0,3.2,3.3,1.83,3.2,3.75,2.2,3.67,3.64,1.91,3.2,3.5,1.9,3.5,4.35,1
5,1734,2008/2009,1,2008-08-16 00:00:00,6,19,2,3,2.0,3.3,4.0,2.0,3.2,3.3,1.8,3.2,4.0,2.2,3.67,3.64,1.95,3.1,3.5,2.05,3.3,4.0,-1
6,1735,2008/2009,1,2008-08-16 00:00:00,7,15,2,1,3.2,3.4,2.25,2.9,3.2,2.2,2.8,3.2,2.2,2.2,3.67,3.64,2.9,3.2,2.15,3.2,3.4,2.3,1
7,1736,2008/2009,1,2008-08-16 00:00:00,8,11,3,1,1.83,3.5,4.5,1.75,3.3,4.2,1.73,3.4,4.0,2.2,3.67,3.64,1.8,3.1,4.0,1.85,3.4,4.8,1
8,1737,2008/2009,1,2008-08-16 00:00:00,9,14,2,1,2.6,3.2,2.8,2.4,3.2,2.6,2.4,3.25,2.5,2.2,3.67,3.64,2.5,2.9,2.62,2.6,3.4,2.8,1
9,1738,2008/2009,1,2008-08-17 00:00:00,10,17,4,0,1.33,5.0,10.0,1.3,4.4,8.5,1.29,4.33,9.0,2.2,3.67,3.64,1.3,4.2,8.5,1.33,5.0,11.0,1
10,1739,2008/2009,10,2008-10-29 00:00:00,1,4,2,0,1.2,6.0,19.0,1.2,5.2,11.0,1.2,5.0,11.0,2.2,3.67,3.64,1.2,5.0,11.0,1.2,6.1,19.0,1
